X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.1509799999999,43.04853,2024/03/05 05:00:00+00,2000,2015,300 S  WARREN ST     ,,From Building,LARCENY,43.04853,-76.1509799999999,2702
-76.106133001,43.063929,2024/05/10 04:00:00+00,1500,800,300 S EDWARDS AV   ,,Of Bicycle,MV THEFT,43.063929,-76.106133001,2703
-76.1048685,43.064019,2024/02/27 05:00:00+00,1040,1140,300 S MIDLER AV ,,All Other,LARCENY,43.064019,-76.1048685,2704
-76.180725001,43.046451,2024/04/19 04:00:00+00,1730,830,300 S LOWELL AV   ,,Of Bicycle,MV THEFT,43.046451,-76.180725001,2705
-76.1509799999999,43.04853,2024/07/12 04:00:00+00,236,236,300 S WARREN ST     ,,,BURGLARY,43.04853,-76.1509799999999,2706
-76.1509799999999,43.04853,2024/04/14 04:00:00+00,1532,1532,300 S WARREN ST     ,,Of MV Parts/Accessories,LARCENY,43.04853,-76.1509799999999,2707
-76.1509799999999,43.04853,2024/07/04 04:00:00+00,646,646,300 S WARREN ST     ,,All Other,LARCENY,43.04853,-76.1509799999999,2708
-76.1509799999999,43.04853,2024/06/16 04:00:00+00,2100,1300,300 S WARREN ST   ,,Of MV Parts/Accessories,LARCENY,43.04853,-76.1509799999999,2709
-76.1092649999999,43.041951,2024/07/11 04:00:00+00,1640,2000,300 SCOTTHOLM BLVD   ,,All Other,LARCENY,43.041951,-76.1092649999999,2710
-76.1092649999999,43.041951,2024/06/05 04:00:00+00,504,504,300 SCOTTHOLM TER    ,,Of Bicycle,MV THEFT,43.041951,-76.1092649999999,2711
-76.1507865,43.002189,2024/01/31 05:00:00+00,2338,2338,300 SENECA DR   ,Yes,,AGGRAVATED ASSAULT,43.002189,-76.1507865,2712
-76.1553494999999,43.009398,2024/05/13 04:00:00+00,2120,2134,300 SHIRLEY DR   ,,,ROBBERY,43.009398,-76.1553494999999,2713
-76.1643720009999,43.041483,2024/06/22 04:00:00+00,2030,400,300 SHONNARD ST     ,,From Motor Vehicle,LARCENY,43.041483,-76.1643720009999,2714
-76.1261625,43.061157,2024/01/03 05:00:00+00,1100,1117,300 SHUART AV   ,Yes,,ROBBERY,43.061157,-76.1261625,2715
-76.1643720009999,43.041483,2024/02/26 05:00:00+00,830,830,300 SHONNARD ST   ,,All Other,LARCENY,43.041483,-76.1643720009999,2716
-76.160403,43.039953,2024/01/12 05:00:00+00,100,200,300 SLOCUM AVE    ,,All Other,LARCENY,43.039953,-76.160403,2717
-76.160403,43.039953,2024/01/25 05:00:00+00,1833,900,300 SLOCUM DR   ,,All Other,LARCENY,43.039953,-76.160403,2718
-76.1125095,43.0636410000001,2024/05/11 04:00:00+00,2000,900,300 STAFFORD AV   ,,Of Bicycle,MV THEFT,43.0636410000001,-76.1125095,2719
-76.172913001,43.0210530000001,2024/04/12 04:00:00+00,1637,1637,300 STRATHMORE DR     ,,Of Bicycle,MV THEFT,43.0210530000001,-76.172913001,2720
-76.166298,43.030152,2024/07/15 04:00:00+00,350,350,300 SUMMIT AV   ,,From Motor Vehicle,LARCENY,43.030152,-76.166298,2721
-76.1832899999999,43.046676,2024/01/17 05:00:00+00,1500,1500,300 TENNYSON AV   ,,All Other,LARCENY,43.046676,-76.1832899999999,2722
-76.160403,43.039953,2024/01/19 05:00:00+00,900,1430,300 SLOCUM DR     ,,All Other,LARCENY,43.039953,-76.160403,2723
-76.1832899999999,43.046676,2024/04/21 04:00:00+00,2324,2324,300 TENNYSON AV   ,,Of Bicycle,MV THEFT,43.046676,-76.1832899999999,2724
-76.1832899999999,43.046676,2024/05/21 04:00:00+00,1135,1135,300 TENNYSON AVE    ,,All Other,LARCENY,43.046676,-76.1832899999999,2725
-76.159854,43.0455600000001,2024/06/09 04:00:00+00,20,20,300 TULLY ST     ,,,AGGRAVATED ASSAULT,43.0455600000001,-76.1598539999999,2726
-76.159854,43.0455600000001,2024/04/03 04:00:00+00,120,1027,300 TULLY ST     ,,Of Bicycle,MV THEFT,43.0455600000001,-76.1598539999999,2727
-76.159854,43.0455600000001,2024/02/21 05:00:00+00,1811,1811,300 TULLY ST   ,,From Motor Vehicle,MV THEFT,43.0455600000001,-76.1598539999999,2728
-76.134933,43.048008,2024/04/06 04:00:00+00,2200,1215,300 UNIVERSITY AV   ,,From Building,LARCENY,43.048008,-76.134933,2729
-76.134933,43.048008,2024/07/07 04:00:00+00,0,1304,300 UNIVERSITY AV   ,,Of Bicycle,MV THEFT,43.048008,-76.134933,2730
-76.1330025,43.018308,2024/03/26 04:00:00+00,1630,630,300 THURBER ST     ,,Of Bicycle,MV THEFT,43.018308,-76.1330025,2731
-76.134933,43.048008,2024/03/13 04:00:00+00,115,2315,300 UNIVERSITY AVE    ,,From Mailbox,LARCENY,43.048008,-76.134933,2732
-76.1606414999999,43.0163370000001,2024/03/05 05:00:00+00,1130,1130,300 VALLEY DR   ,,All Other,LARCENY,43.0163370000001,-76.1606414999999,2733
-76.1606414999999,43.0163370000001,2024/02/26 05:00:00+00,1250,1250,300 VALLEY DR     ,,Of Bicycle,MV THEFT,43.0163370000001,-76.1606414999999,2734
-76.1166494999999,43.0714620000001,2024/04/21 04:00:00+00,2200,300,300 VILLAGE DR     ,,Of Bicycle,MV THEFT,43.0714620000001,-76.1166494999999,2735
